pmid,g2p_id
6125810,G2P01227
6140547,G2P00283
6148691,G2P01428
6149514,G2P00042
6179374,G2P01189
6201351,G2P01115
6224417,G2P01042
6282513,G2P01621
6283911,G2P00591
6288290,G2P01227
6299616,G2P01227
6302392,G2P01227
6303628,G2P00341
6325658,G2P01227
6325912,G2P01551
6329765,G2P01227
6405388,G2P00616
6418227,G2P00698
6424438,G2P00473
6438403,G2P00573
6443743,G2P01159
6472974,G2P00275
6475731,G2P00828
6480803,G2P00507
6493275,G2P00672
6507502,G2P00876
6511918,G2P00088
6548607,G2P01106
6572373,G2P01115
6598054,G2P01115
6609527,G2P00698
6646173,G2P00698
6693130,G2P00275
6700105,G2P00275
6704049,G2P00235
6720406,G2P00698
6734669,G2P01026
6762370,G2P01621
6783229,G2P01384
6790838,G2P00275
6790846,G2P00473
6811711,G2P01643
6825304,G2P00828
6842334,G2P00796
6848914,G2P01368
6853716,G2P01115
6883721,G2P01368
6894849,G2P01621
6896714,G2P01384
6976189,G2P00698
7012699,G2P00828
7064923,G2P00275
7069531,G2P00341
7093283,G2P00088
7095300,G2P01115
7096535,G2P00507
7164895,G2P00088
7164924,G2P01326
7173259,G2P00496
7217397,G2P00275
7217994,G2P01621
7228031,G2P01115
7239517,G2P00876
7241957,G2P01621
7294064,G2P00507
7327917,G2P01115
7328301,G2P00258
7334502,G2P01621
7453791,G2P00150
7485265,G2P00658
7489816,G2P00499;G2P00507
7490546,G2P00749
7499756,G2P00088
7501563,G2P00410
7520724,G2P00021
7529964,G2P00447
7537149,G2P00507
7542886,G2P00410
7545958,G2P00684
7546451,G2P00283
7550232,G2P00423
7550323,G2P00410
7554472,G2P00698
7556322,G2P00275
7558045,G2P00144
7564229,G2P01428
7564249,G2P00828
7577653,G2P00904
7580269,G2P01517
7581365,G2P00623
7581394,G2P00786
7581399,G2P00507
7581460,G2P00658
7593413,G2P01517
7594264,G2P00828
7599639,G2P00790
7603531,G2P00764
7607643,G2P00144
7608277,G2P01158
7609462,G2P00275
7612049,G2P01513;G2P01348;G2P00798
7617575,G2P01189
7620117,G2P00113
7620586,G2P01035
7626493,G2P00507;G2P00499
7627181,G2P00209
7627191,G2P01115
7633409,G2P01013
7645588,G2P00197
7649349,G2P00507
7649538,G2P00003
7658289,G2P00410
7663522,G2P01386
7666324,G2P00088
7668257,G2P00331
7668296,G2P02591
7670472,G2P01483
7671961,G2P00341
7681622,G2P01069
7688557,G2P00198
7691603,G2P00732
7701349,G2P00929
7702690,G2P00410
7707697,G2P00600
7716719,G2P00680
7717428,G2P00088
7718898,G2P01407
7723955,G2P01621
7726158,G2P00855
7726166,G2P01133
7726174,G2P03379
7726262,G2P00658
7728153,G2P00410
7741006,G2P00088
7746858,G2P00181
7749419,G2P01042
7752004,G2P01227
7752774,G2P01562
7760062,G2P00737
7762555,G2P00828
7766951,G2P00275
7766959,G2P00275
7767097,G2P01621
7778442,G2P01032
7783179,G2P00658
7783419,G2P01574
7794729,G2P00198
7807946,G2P01307
7814013,G2P00275
7825603,G2P00042
7831990,G2P01115
7833929,G2P00284
7834566,G2P01621
7835527,G2P00410
7845338,G2P01621
7847372,G2P00037;G2P01513
7853367,G2P01621
7857677,G2P00946
7857885,G2P00680
7858169,G2P00042
7860066,G2P00088
7860076,G2P02068
7866409,G2P00764
7869193,G2P00410
7874109,G2P00680
7882469,G2P00235
7886000,G2P01189
7893924,G2P00828
7906921,G2P00042
7909985,G2P01555
7910271,G2P01106
7910399,G2P01621
7913714,G2P01428
7913865,G2P00275
7914248,G2P00698
7915755,G2P02068
7917130,G2P01621
7919973,G2P01621
7920176,G2P00499;G2P00507
7920658,G2P01423
7920987,G2P01517
7923811,G2P00647
7930388,G2P01578
7935651,G2P01621
7936809,G2P00342
7942851,G2P00577
7943020,G2P00658
7944536,G2P02848
7945217,G2P03125;G2P01013
7949597,G2P00276
7951549,G2P00507
7962294,G2P00507
7968792,G2P00410
7980103,G2P00709
7981593,G2P01621
7981676,G2P00764
7981687,G2P00507
7981752,G2P00037
7987329,G2P01614
7987333,G2P00749
7989045,G2P00342
7993455,G2P00507
7997019,G2P00680
8001321,G2P01578
8006367,G2P01621
8029165,G2P01384
8030664,G2P01483
8031536,G2P00410
8032855,G2P00684
8033918,G2P00507
8034303,G2P00020
8040326,G2P01013
8040766,G2P00341
8048700,G2P00369
8048932,G2P00786
8051429,G2P00698
8051934,G2P00647
8058156,G2P00709
8065582,G2P00410
8069318,G2P00275
8072681,G2P02489
8076944,G2P00373
8077336,G2P00276
8088846,G2P01032
8095248,G2P00275
8096390,G2P00507
8097260,G2P00947
8101579,G2P01423
8103398,G2P00507
8111415,G2P01115
8112732,G2P00198
8112750,G2P00946
8116590,G2P00491
8123014,G2P00410
8127052,G2P00423
8127074,G2P00616
8136837,G2P01013
8157015,G2P00410
8157027,G2P00037;G2P00168;G2P01513;G2P00798
8160727,G2P01621
8160755,G2P01621
8162025,G2P02068
8162054,G2P00934
8173220,G2P00658
8178817,G2P00054
8180508,G2P01013
8198124,G2P00876
8209894,G2P01621
8211186,G2P01440
8211981,G2P01621
8213816,G2P01159
8220422,G2P00884
8222247,G2P00275
8222385,G2P01621
8228039,G2P00410
8229473,G2P00198
8232348,G2P01115
8239933,G2P00658
8240973,G2P00507
8244342,G2P00473
8268237,G2P01423
8268925,G2P00275
8274427,G2P00507
8281141,G2P01013
8281163,G2P00198
8285582,G2P00359
8292871,G2P01621
8295405,G2P00198
8301769,G2P00658
8304337,G2P00181
8305298,G2P00410
8306750,G2P01621
8312369,G2P00579
8314557,G2P01115
8319716,G2P01643
8320703,G2P00275
8322680,G2P00499
8322740,G2P00658
8325950,G2P00507
8326489,G2P00737
8344669,G2P00275
8348157,G2P00172
8352847,G2P01621
8358041,G2P01621
8358947,G2P00616
8364546,G2P00275
8364576,G2P00934
8364588,G2P00021
8370156,G2P00658
8370781,G2P01621
8387534,G2P01621
8406497,G2P01013
8411028,G2P01621
8411069,G2P01621
8411997,G2P01540
8412748,G2P00088
8413478,G2P00410
8415298,G2P00410
8419211,G2P00507
8421754,G2P01621
8429320,G2P01621
8430702,G2P00734
8432018,G2P00491
8434604,G2P00798
8442414,G2P01428
8446106,G2P00507
8453842,G2P00410
8466247,G2P00370
8477262,G2P01421
8484407,G2P00410
8486375,G2P01513
8488875,G2P00240
8499922,G2P01621
8502196,G2P01621
8504306,G2P00684
8508860,G2P01621
8514037,G2P00342
8515572,G2P01621
8515763,G2P01621
8518287,G2P00737
8521188,G2P01578
8522334,G2P00341
8528210,G2P01562
8530601,G2P01167
8530947,G2P01621
8533800,G2P00577
8533811,G2P01013
8535449,G2P00373
8545913,G2P00499
8556060,G2P00680
8556304,G2P00275
8557261,G2P00934
8566952,G2P00786
8579967,G2P01621
8580570,G2P01621
8581357,G2P01042
8583225,G2P00709
8588847,G2P00658
8589687,G2P00658
8592340,G2P00658
8595427,G2P00680
8603352,G2P00817
8614422,G2P00698
8618053,G2P01189
8622335,G2P00828
8629090,G2P00275
8634694,G2P00240
8640214,G2P00867;G2P01555
8644708,G2P00144;G2P01005;G2P01586
8651295,G2P00782
8652022,G2P01256
8661020,G2P00258
8664897,G2P00423
8675579,G2P01106
8680101,G2P01384
8696057,G2P01621
8696334,G2P00706
8696350,G2P01273
8702120,G2P01548
8702125,G2P01257
8702171,G2P01519
8703809,G2P00172
8710782,G2P00499
8723099,G2P00037
8723116,G2P00283
8723698,G2P00934
8724113,G2P00828
8729744,G2P01621
8732995,G2P00507;G2P00499
8733896,G2P01621
8734035,G2P00235
8736267,G2P00507
8741107,G2P00209
8749704,G2P00499
8761170,G2P02773
8768864,G2P00507
8775557,G2P00749
8777688,G2P01372
8781450,G2P00035
8782043,G2P00648
8786080,G2P00197
8791518,G2P01555
8799378,G2P00577
8803779,G2P00828
8807331,G2P00275
8808599,G2P01390
8809734,G2P00507
8809893,G2P00944
8813986,G2P00321
8816299,G2P00410
8817339,G2P01643
8824878,G2P01034
8825048,G2P01636
8825578,G2P00168;G2P01348
8825915,G2P00410
8826437,G2P01621
8826446,G2P01222
